temperature,humidity,heat_index,wbgt,vulnerability,synthetic_thermal_stress_event,label_source
28.8,43.2,28.8,21.96736,24.8,0,synthetic_demo
29.5,44.5,29.5,22.41535,26.5,0,synthetic_demo
30.2,45.8,30.264,22.863339999999997,28.2,0,synthetic_demo
30.9,47.1,31.067999999999998,23.31133,29.9,0,synthetic_demo
31.6,48.4,31.872,23.75932,31.6,0,synthetic_demo
32.3,49.7,32.675999999999995,24.207309999999996,33.3,0,synthetic_demo
33,51,33.48,24.6553,35,0,synthetic_demo
33.7,52.3,34.284000000000006,25.10329,36.7,0,synthetic_demo
34.4,53.6,35.088,25.55128,38.4,0,synthetic_demo
35.1,54.9,35.892,25.99927,40.1,0,synthetic_demo
35.8,56.2,36.696,26.447259999999996,41.8,0,synthetic_demo
36.5,57.5,37.5,26.89525,43.5,0,synthetic_demo
37.2,58.8,38.304,27.34324,45.2,0,synthetic_demo
37.9,60.1,39.108,27.79123,46.9,0,synthetic_demo
38.6,61.4,39.912,28.23922,48.6,0,synthetic_demo
39.3,62.7,40.715999999999994,28.68721,50.3,0,synthetic_demo
40,64,41.52,29.1352,52,0,synthetic_demo
40.7,65.3,42.324000000000005,29.58319,53.7,0,synthetic_demo
41.4,66.6,43.128,30.03118,55.4,0,synthetic_demo
42.1,67.9,43.932,30.47917,57.1,0,synthetic_demo
42.8,69.2,44.736,30.927159999999997,58.8,1,synthetic_demo
28.5,70.5,30.54,22.87015,60.5,0,synthetic_demo
29.2,71.8,31.343999999999998,23.318139999999996,62.2,0,synthetic_demo
29.9,73.1,32.147999999999996,23.76613,63.9,0,synthetic_demo
30.6,74.4,32.952,24.21412,65.6,0,synthetic_demo
31.3,75.7,33.756,24.662110000000002,67.3,0,synthetic_demo
32,77,34.56,25.1101,69,0,synthetic_demo
32.7,78.3,35.364000000000004,25.558090000000004,70.7,0,synthetic_demo
33.4,79.6,36.168,26.006079999999997,72.4,0,synthetic_demo
34.1,80.9,36.972,26.454069999999998,74.1,0,synthetic_demo
34.8,82.2,37.775999999999996,26.90206,75.8,0,synthetic_demo
35.5,83.5,38.58,27.35005,77.5,0,synthetic_demo
36.2,84.8,39.384,27.798040000000004,79.2,1,synthetic_demo
36.9,86.1,40.187999999999995,28.246029999999998,80.9,1,synthetic_demo
37.6,87.4,40.992000000000004,28.69402,82.6,1,synthetic_demo
38.3,88.7,41.796,29.14201,84.3,1,synthetic_demo
39,38,39,27.546400000000002,86,1,synthetic_demo
39.7,39.3,39.7,27.99439,87.7,1,synthetic_demo
40.4,40.6,40.4,28.44238,89.4,1,synthetic_demo
41.1,41.9,41.1,28.89037,21.1,0,synthetic_demo
41.8,43.2,41.8,29.338359999999998,22.8,0,synthetic_demo
42.5,44.5,42.5,29.78635,24.5,0,synthetic_demo
28.2,45.8,28.264,21.72934,26.2,0,synthetic_demo
28.9,47.1,29.067999999999998,22.17733,27.9,0,synthetic_demo
29.6,48.4,29.872,22.625320000000002,29.6,0,synthetic_demo
30.3,49.7,30.676000000000002,23.073310000000003,31.3,0,synthetic_demo
31,51,31.48,23.5213,33,0,synthetic_demo
31.7,52.3,32.284,23.969289999999997,34.7,0,synthetic_demo
32.4,53.6,33.088,24.41728,36.4,0,synthetic_demo
33.1,54.9,33.892,24.86527,38.1,0,synthetic_demo
33.8,56.2,34.696,25.313259999999996,39.8,0,synthetic_demo
34.5,57.5,35.5,25.76125,41.5,0,synthetic_demo
35.2,58.8,36.304,26.20924,43.2,0,synthetic_demo
35.9,60.1,37.108,26.65723,44.9,0,synthetic_demo
36.6,61.4,37.912,27.10522,46.6,0,synthetic_demo
37.3,62.7,38.715999999999994,27.55321,48.3,0,synthetic_demo
38,64,39.52,28.0012,50,0,synthetic_demo
38.7,65.3,40.324000000000005,28.449189999999998,51.7,0,synthetic_demo
39.4,66.6,41.128,28.89718,53.4,0,synthetic_demo
40.1,67.9,41.932,29.34517,55.1,0,synthetic_demo
40.8,69.2,42.736,29.79316,56.8,0,synthetic_demo
41.5,70.5,43.54,30.241149999999998,58.5,0,synthetic_demo
42.2,71.8,44.344,30.68914,60.2,1,synthetic_demo
42.9,73.1,45.147999999999996,31.13713,61.9,1,synthetic_demo
28.6,74.4,30.952,23.08012,63.6,0,synthetic_demo
29.3,75.7,31.756,23.52811,65.3,0,synthetic_demo
30,77,32.56,23.9761,67,0,synthetic_demo
30.7,78.3,33.364,24.42409,68.7,0,synthetic_demo
31.4,79.6,34.168,24.87208,70.4,0,synthetic_demo
32.1,80.9,34.972,25.320069999999998,72.1,0,synthetic_demo
32.8,82.2,35.775999999999996,25.76806,73.8,0,synthetic_demo
33.5,83.5,36.58,26.21605,75.5,0,synthetic_demo
34.2,84.8,37.384,26.664040000000004,77.2,0,synthetic_demo
34.9,86.1,38.187999999999995,27.112029999999997,78.9,0,synthetic_demo
35.6,87.4,38.992000000000004,27.560019999999998,80.6,1,synthetic_demo
36.3,88.7,39.796,28.00801,82.3,1,synthetic_demo
37,38,37,26.4124,84,0,synthetic_demo
37.7,39.3,37.7,26.86039,85.7,1,synthetic_demo
38.4,40.6,38.4,27.30838,87.4,1,synthetic_demo
39.1,41.9,39.1,27.75637,89.1,1,synthetic_demo
39.8,43.2,39.8,28.204359999999998,20.8,0,synthetic_demo
40.5,44.5,40.5,28.65235,22.5,0,synthetic_demo
41.2,45.8,41.264,29.10034,24.2,0,synthetic_demo
41.9,47.1,42.068,29.54833,25.9,0,synthetic_demo
42.6,48.4,42.872,29.99632,27.6,0,synthetic_demo
28.3,49.7,28.676000000000002,21.939310000000003,29.3,0,synthetic_demo
29,51,29.48,22.3873,31,0,synthetic_demo
29.7,52.3,30.284,22.835289999999997,32.7,0,synthetic_demo
30.4,53.6,31.087999999999997,23.28328,34.4,0,synthetic_demo
31.1,54.9,31.892000000000003,23.73127,36.1,0,synthetic_demo
31.8,56.2,32.696,24.179260000000003,37.8,0,synthetic_demo
32.5,57.5,33.5,24.62725,39.5,0,synthetic_demo
33.2,58.8,34.304,25.07524,41.2,0,synthetic_demo
33.9,60.1,35.108,25.523229999999998,42.9,0,synthetic_demo
34.6,61.4,35.912,25.97122,44.6,0,synthetic_demo
35.3,62.7,36.715999999999994,26.41921,46.3,0,synthetic_demo
36,64,37.52,26.8672,48,0,synthetic_demo
36.7,65.3,38.324000000000005,27.31519,49.7,0,synthetic_demo
37.4,66.6,39.128,27.76318,51.4,0,synthetic_demo
38.1,67.9,39.932,28.21117,53.1,0,synthetic_demo
38.8,69.2,40.736,28.65916,54.8,0,synthetic_demo
39.5,70.5,41.54,29.10715,56.5,0,synthetic_demo
40.2,71.8,42.344,29.555139999999998,58.2,0,synthetic_demo
40.9,73.1,43.147999999999996,30.00313,59.9,0,synthetic_demo
41.6,74.4,43.952,30.45112,61.6,1,synthetic_demo
42.3,75.7,44.756,30.89911,63.3,1,synthetic_demo
28,77,30.56,22.8421,65,0,synthetic_demo
28.7,78.3,31.363999999999997,23.29009,66.7,0,synthetic_demo
29.4,79.6,32.168,23.73808,68.4,0,synthetic_demo
30.1,80.9,32.972,24.18607,70.1,0,synthetic_demo
30.8,82.2,33.776,24.63406,71.8,0,synthetic_demo
31.5,83.5,34.58,25.08205,73.5,0,synthetic_demo
32.2,84.8,35.384,25.530040000000003,75.2,0,synthetic_demo
32.9,86.1,36.187999999999995,25.97803,76.9,0,synthetic_demo
33.6,87.4,36.992000000000004,26.426019999999998,78.6,0,synthetic_demo
34.3,88.7,37.796,26.87401,80.3,0,synthetic_demo
35,38,35,25.2784,82,0,synthetic_demo
35.7,39.3,35.7,25.726390000000002,83.7,0,synthetic_demo
36.4,40.6,36.4,26.17438,85.4,0,synthetic_demo
37.1,41.9,37.1,26.62237,87.1,1,synthetic_demo
37.8,43.2,37.8,27.070359999999997,88.8,1,synthetic_demo
38.5,44.5,38.5,27.51835,20.5,0,synthetic_demo
39.2,45.8,39.264,27.96634,22.2,0,synthetic_demo
39.9,47.1,40.068,28.41433,23.9,0,synthetic_demo
40.6,48.4,40.872,28.86232,25.6,0,synthetic_demo
41.3,49.7,41.675999999999995,29.310309999999998,27.3,0,synthetic_demo
42,51,42.48,29.7583,29,0,synthetic_demo
42.7,52.3,43.284000000000006,30.20629,30.7,0,synthetic_demo
28.4,53.6,29.087999999999997,22.14928,32.4,0,synthetic_demo
29.1,54.9,29.892000000000003,22.59727,34.1,0,synthetic_demo
29.8,56.2,30.696,23.045260000000003,35.8,0,synthetic_demo
30.5,57.5,31.5,23.49325,37.5,0,synthetic_demo
31.2,58.8,32.304,23.941239999999997,39.2,0,synthetic_demo
31.9,60.1,33.108,24.38923,40.9,0,synthetic_demo
32.6,61.4,33.912,24.83722,42.6,0,synthetic_demo
33.3,62.7,34.715999999999994,25.28521,44.3,0,synthetic_demo
34,64,35.52,25.7332,46,0,synthetic_demo
34.7,65.3,36.324000000000005,26.18119,47.7,0,synthetic_demo
35.4,66.6,37.128,26.629179999999998,49.4,0,synthetic_demo
36.1,67.9,37.932,27.07717,51.1,0,synthetic_demo
36.8,69.2,38.736,27.52516,52.8,0,synthetic_demo
37.5,70.5,39.54,27.97315,54.5,0,synthetic_demo
38.2,71.8,40.344,28.421139999999998,56.2,0,synthetic_demo
38.9,73.1,41.147999999999996,28.86913,57.9,0,synthetic_demo
39.6,74.4,41.952,29.31712,59.6,0,synthetic_demo
40.3,75.7,42.756,29.76511,61.3,0,synthetic_demo
41,77,43.56,30.213099999999997,63,1,synthetic_demo
41.7,78.3,44.364000000000004,30.66109,64.7,1,synthetic_demo
42.4,79.6,45.168,31.10908,66.4,1,synthetic_demo
28.1,80.9,30.972,23.05207,68.1,0,synthetic_demo
28.8,82.2,31.776,23.50006,69.8,0,synthetic_demo
29.5,83.5,32.58,23.94805,71.5,0,synthetic_demo
30.2,84.8,33.384,24.39604,73.2,0,synthetic_demo
30.9,86.1,34.187999999999995,24.84403,74.9,0,synthetic_demo
31.6,87.4,34.992000000000004,25.292019999999997,76.6,0,synthetic_demo
32.3,88.7,35.796,25.740009999999998,78.3,0,synthetic_demo
33,38,33,24.1444,80,0,synthetic_demo
33.7,39.3,33.7,24.59239,81.7,0,synthetic_demo
34.4,40.6,34.4,25.04038,83.4,0,synthetic_demo
35.1,41.9,35.1,25.48837,85.1,0,synthetic_demo
35.8,43.2,35.8,25.936359999999997,86.8,0,synthetic_demo
36.5,44.5,36.5,26.38435,88.5,1,synthetic_demo
37.2,45.8,37.264,26.832340000000002,20.2,0,synthetic_demo
37.9,47.1,38.068,27.28033,21.9,0,synthetic_demo
38.6,48.4,38.872,27.72832,23.6,0,synthetic_demo
39.3,49.7,39.675999999999995,28.176309999999997,25.3,0,synthetic_demo
40,51,40.48,28.6243,27,0,synthetic_demo
40.7,52.3,41.284000000000006,29.07229,28.7,0,synthetic_demo
41.4,53.6,42.088,29.52028,30.4,0,synthetic_demo
42.1,54.9,42.892,29.96827,32.1,0,synthetic_demo
42.8,56.2,43.696,30.416259999999998,33.8,0,synthetic_demo
28.5,57.5,29.5,22.35925,35.5,0,synthetic_demo
29.2,58.8,30.304,22.807239999999997,37.2,0,synthetic_demo
29.9,60.1,31.107999999999997,23.25523,38.9,0,synthetic_demo
30.6,61.4,31.912000000000003,23.70322,40.6,0,synthetic_demo
31.3,62.7,32.716,24.151210000000003,42.3,0,synthetic_demo
32,64,33.52,24.5992,44,0,synthetic_demo
32.7,65.3,34.324000000000005,25.04719,45.7,0,synthetic_demo
33.4,66.6,35.128,25.495179999999998,47.4,0,synthetic_demo
34.1,67.9,35.932,25.94317,49.1,0,synthetic_demo
34.8,69.2,36.736,26.39116,50.8,0,synthetic_demo
35.5,70.5,37.54,26.83915,52.5,0,synthetic_demo
36.2,71.8,38.344,27.287140000000004,54.2,0,synthetic_demo
36.9,73.1,39.147999999999996,27.735129999999998,55.9,0,synthetic_demo
37.6,74.4,39.952,28.18312,57.6,0,synthetic_demo
38.3,75.7,40.756,28.63111,59.3,0,synthetic_demo
39,77,41.56,29.0791,61,0,synthetic_demo
39.7,78.3,42.364000000000004,29.52709,62.7,0,synthetic_demo
40.4,79.6,43.168,29.97508,64.4,1,synthetic_demo
41.1,80.9,43.972,30.42307,66.1,1,synthetic_demo
41.8,82.2,44.775999999999996,30.87106,67.8,1,synthetic_demo
42.5,83.5,45.58,31.319049999999997,69.5,1,synthetic_demo
28.2,84.8,31.384,23.26204,71.2,0,synthetic_demo
28.9,86.1,32.187999999999995,23.71003,72.9,0,synthetic_demo
29.6,87.4,32.992000000000004,24.158020000000004,74.6,0,synthetic_demo
30.3,88.7,33.796,24.60601,76.3,0,synthetic_demo
